aucitem,interested
GREAT BRITAIN sc#173 (1913) MNH,no
"MNH U.S. #3948a ""Constellations"" Pane of 20 37c Stamps -- c.v. $17.00.",no
T377 2001 GUINE-BISSAU FOOTBALL TACA DO MUNDO 2002 BRAZIL 1KB+1BL MNH,no
040050 V̦gel Rooster Zodiac China New Year Grenada 5530 KB+Bl 731 ** MNH Year 05,no
France Scott 2653a journey of a letter - strip of 6 MNH,no
T378 2001 GUINE-BISSAU FOOTBALL TACA DO MUNDO 2002 GERMANY 1KB+1BL MNH,no
ITALY 1939 Railways complete set 3v / MNH G80593,no
Malaya Straits Settlements 2c Overprinted Sungei Ujong MNH Stamp as Per Photo,no
T379 2001 GUINE-BISSAU FOOTBALL TACA DO MUNDO 2002 ENGLAND 1KB+1BL MNH,no
"Israel 1950 25th Anniv. of Jerusalem University, complete set, Mi #32, MNH",no
040051 V̦gel Rooster Zodiac China New Year Grenada 4153 KB+Bl 594 ** MNH Year 05,no
T38 2009 MOCAMBIQUE TRAINS HISTORIA DO FERROVIARIO 2 1KB+1BL MNH,no
GREAT BRITAIN sc#1313a (1990) COMPLETE BOOKLET MNH,no
T380 2001 GUINE-BISSAU FOOTBALL TACA DO MUNDO 2002 PORTUGAL 1KB+1BL MNH,no
"WORLDWIDE, LOT OF MINISHEETS, MNH and CTO",no
040052 V̦gel Rooster Zodiac China New Year Dominica 3664 + Bl 510 ** MNH Year 05,no
T381 2001 GUINE-BISSAU TABLE TENNIS CAMPEONATO DO MUNDO OSAKO JAPAO 2BL MNH,no
ITALY 1942 Galileo and Rossini 2 complete sets / MNH G80590,no
T382 2010 GUINE-BISSAU WILD ANIMALS MONKEYS MACACOS KB+BL MNH,no
"Gibraltar Stamp SG 287a coil strip of 5 MNH issued 15-Feb-1971 values 0.5p,1p,2p",no
"Israel 1950 75th Anniv. of UPU, w/ Tab, complete set, Mi #28,29, MNH",no
PHILIPPINES 2003 NO TO DRUGS MNH,no
T383 2010 GUINE-BISSAU INSECTS ABELHAS KB+BL MNH,no
040053 V̦gel Rooster Zodiac China New Year St Kitts 824 + Bl 64 ** MNH Year 2005,no
GEORGIA 2010 BIRDS fowl   MNH,no
T384 2010 GUINE-BISSAU REPTILES CROCODILES OS JACARES KB+BL MNH,no
TEHRAN 2007 SERBIAN CRANE BIRD 2003 SEAL FISH    MNH,no
T385 2010 GUINE-BISSAU NATURE STONES MINERAIS KB+BL MNH,no
GREAT BRITAIN sc#BK1160 (1991) COMPLETE BOOKLET MNH,no
040054 V̦gel Rooster Zodiac China New Year Antigua 4247 KB + Bl 612 ** MNH 2005,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 02,no
Malaya Straits Settlements 2c Overprinted Sungei Ujong MNH Stamp as Per Photo,no
T386 2010 GUINE-BISSAU FARM ANIMALS HORSES CAVALOS MUSTANGUE  KB+BL MNH,no
"ITALY LOCAL ISSUE C.L.N. 1945 Ponte Chiasso 10c / MNH, Signed / G80165",no
T387 2010 GUINE-BISSAU MARINE LIFE DOLPHINS GOLFINHOS  KB+BL MNH,no
"Israel 1950 Jewish Celebration Days, w/ Tab, complete set, Mi #39-40, MNH",yes
040055 V̦gel Rooster Zodiac China New Year USA 2335 Zd-Bogen ** MNH Year 1992,no
T388 2010 GUINE-BISSAU WILD CATS LEOPARDUS GATOS SELVAGENS KB+BL MNH,no
GREAT BRITAIN sc#1416a (1991) COMPLETE BOOKLET MNH,no
T389 2010 GUINE-BISSAU MARINE LIFE SEASHELLS CONCHAS KB+BL MNH,no
"France - 3 Art stamps -  imperforate, MNH",yes
T39 2009 MOCAMBIQUE TRAINS HISTORIA DO FERROVIARIO 3 1KB+1BL MNH,no
GREAT BRITAIN sc#BK1171 (1992) COMPLETE BOOKLET MNH,no
040056 V̦gel Rooster Zodiac China New Year USA 2335 Zd-Bogen ** MNH Year 1992,no
ITALY LOCAL ISSUE C.L.N. 1945 Ravenna 4v MNH G80455,no
T390 2010 GUINE-BISSAU NATURE VULCOES KB+BL MNH,no
Malaya Straits Settlements 2c Overprinted Sungei Ujong MNH Stamp as Per Photo,no
"Israel 1950 Sports Celebration in Israel w/ Tab, complete set, Mi #41, MNH",no
