aucitem,interested
T330 2011 UNION DES COMORES FAUNE FLORE MINERAUX BIRDS LES VAUTOURS KB+BL MNH,no
040027 VÃ¶gel Rooster Zodiac China New Year North 3360-65 KB ** MNH Year 1992,no
R.S.I 1944 CENT 80 ARANCIO MNH** POSTA AEREA TIR VERONA SASSONE 120,no
T331 2011 UNION DES COMORES FISH & MARINE LIFE LES POISSONS 1KB+1BL MNH,no
CANADA sc#155 (1928) MNH,no
T332 2011 UNION DES COMORES FAUNA WILD CATS LIONS PANTHERAS LES FAUVES BL+KB MNH,no
Germany SG 2725  'TOWNSCAPE' - SHEET OF 10 - MINT NEVER HINGED,no
T333 2011 UNION DES COMORES FAUNE FLORE MINERAUX LES ABEILLES INSECTS KB+BL MNH,no
ITALY 1908 Special Delivery 30c well centered / MNH G80600,no
CANADA sc#511a (1970) MNH,no
R.S.I 1944 CENT 75 BRUNO GIALLO MNH** POSTA AEREA TIR. DI VERONA SASSONE 119,no
040028 VÃ¶gel Rooster Zodiac China New North 3360-65 + Bl 277 ** MNH Imperforate,no
T334 2011 UNION DES COMORES FAUNA WILD ANIMALS RABBITS LES LAPINS BL+KB MNH,no
"Russia RSFSR 1922 regular issue 70 rub Full Sheet, folded in half, MNH",no
"C1245 TRIPOLI DI BARBERIA - Espressi sovr., serie cpl. n. 1/2. Cat.â‚¬. 75 - MNH**",no
T335 2011 UNION DES COMORES FAUNA REPTILES TURTLES LES TORTUES KB+BL MNH,no
"RUSSIA, FULL SHEET, 1991, MNH, ON THE CORNERS MINORS FOLDS",no
040029 VÃ¶gel Rooster Zodiac China New Year North 3360-65 KB ** MNH Imperforate,no
R.S.I 1944 SERIE COMPLETA MNH** PROPAGANDA DI GUERRA BS II TIPO SASSONE S1603,no
"1929 CITTA' DEL VATICANO LA SERIE ""CONCILIAZIONE"" NUOVO MNH**",no
T336 2011 UNION DES COMORES FAUNE FLORE MINERAUX LES ORCHIDEES  KB+BL MNH,no
T337 2011 UNION DES COMORES FAUNE FLORE MINERAUX PAPILLONS BUTTERFLIES KB+BL MNH,no
R.S.I 1944 SERIE COMPLETA MNH** PROPAGANDA DI GUERRA SASSONE S1605,no
T338 2011 UNION DES COMORES FAUNE FLORE MINERAUX PAPILLONS BUTTERFLIES KB+BL MNH,no
040030 VÃ¶gel Rooster Zodiac China New Year North 4841-42 + Bl 607/08 ** MNH 1992,no
"Russia 1908 19th issue, 10 kop Full Sheet, Pl #4 on margins, MNH",no
T339 2011 UNION DES COMORES FAUNE FLORE MINERAUX PAPILLONS BUTTERFLIES KB+BL MNH,no
MALDIVES GB UK SET WILDLIFE BIRDS BIRD VF MNH N79.21 START 0.99,no
040031 VÃ¶gel Rooster Zodiac North 4841-42 + Bl 607/08 ** MNH 1992 Imperforate,no
*CANADA sc#1668b (1997) SHEET OF 16 MNH  + FOLDER,no
T340 2011 UNION DES COMORES FAUNE FLORE MINERAUX PAPILLONS BUTTERFLIES KB+BL MNH,no
ITALY 1921 Vittoria complete set / MNH / G80614,no
040032 VÃ¶gel Rooster Zodiac China New Year North 4841-42 Booklet ** MNH 1992,no
R.S.I 1944 CENT 75 CARMINIO MNH** TIRATURA DI BRESCIA SASSONE 478/I,no
"Russia 1908 19th issue, 10 kop Full Sheet, Pl #2 on margins, MNH",no
CHINA sc#1296-8 (1961) INCOMPLETE MNH,no
R.S.I 1944 LIRE 2 CARMINIO MNH** TIRATURA DI BRESCIA SASSONE 482/I,no
"Poland 1918, Gen.-Gouv. Warschau, corner block Fischer 9, MNH",no
Lot 12 timbres stamps Italie italia RSI Neuf MNH **,no
040033 VÃ¶gel Rooster Zodiac China New Year Pilipinas 2240-41+Bl 56 A/B ** MNH 92,no
R.S.I 1944 CENT 25 VERDE SCURO MNH** POSTA AEREA TIR. DI BRESCIA SASSONE 117/I,no
040034 VÃ¶gel Rooster Zodiac China New Year Pilipinas Block 56 I A/B ** MNH 1992,no
*CHRISTMAS IS. sc#11-20 (1963) COMPLETE MNH,yes
"Russia RSFSR 1922 20 rub/70kop Full Sheet, MNH",no
040035 VÃ¶gel Rooster Zodiac China New Year Pilipinas 3591-92 + Bl 208 ** MNH 04,no
"Yugoslavia lot **MNH-stamps, block, sheets",no
1944 R.S.I LIRE 5 VERDE MNH** POSTA AEREA TIRATURA DI BRESCIA SASSONE 123/I,no
Netherlands 1913 NVPH 97 MNH High CV,no
