aucitem,interested
A3699/FRANCE/MAURY # 587 # 612 # 765 # 795 # 853 #867 #891 NEUF **/MINT MNH/160â‚¬,yes
B04746 USA Kleinbogen postfr./mnh 2003 The Art of Disney Friendship,no
EUROPA CEPT Mongolei 2006 BlÃ¶cke - 50 J. Europamarken postfr./** (MNH),no
P3700/ FRANCE / MAURY # 930 / 935 # 945 / 950 # 1066 /1071/NEUF **/MINT MNH 172â‚¬,yes
Germany  Dt. Reich Mi. Nr. 604-605**  MNH Postfrisch,no
"2  x  SETS  OF  6 -   OCT  2nd   2001  "" NOBEL  PRIZES ""   MINT  ( MNH )  STAMPS",yes
EUROPA CEPT Mongolei 2006 Kleinbogen - 50 J. Europamarken postfr./** (MNH),no
T161 2009 GUINE-BISSAU SPACE JAPAN EXLPLORATION JAXA KB+BL MNH,no
"B03-Yemen. Art, Flowers, 5 stamps hitch, MNH",no
"D86-Manama. Art, Flemish school of painting, block imperf, MNH",no
"C23-Ras Al Khaima. Art, Painting, Rembrandt, block, imperf, MNH",no
"D81-Manama. WW 2, De Gaulle, 6 stamps, overprint, MNH",no
"C21-Ajman. Art, Paintings, Dogs, 6 stamps, MNH",no
"C31-Ajman. Art, Religion, Madonna, Paintings, 5 stamps + block imperf, MNH",no
"D84-Manama. Art, Paintings, Napoleon, block, MNH",no
"A81-Rwanda.1983, 1984, 1988. Art, Christmas, 3 blocks, MNH",no
"D83-Ajman. Art, Allegory painting, block imperf, MNH",no
"D96-Manama. Art, Paintings, Michelangelo, block, MNH",no
B04748 USA Kleinbogen postfr./mnh 2005 The Art of Disney Celebration,no
ITALY 1944 POSTAGE DUE Overprinted MNH to 60c 6 Stamps cat EURO 150,no
EUROPA CEPT Montenegro 2006 - 50 J. Europamarken postfrisch/** (MNH),no
T162 2009 GUINE-BISSAU MARINE LIFE CONCHAS E CORAIS KB+BL MNH,no
LATVIA 1933 MNH Airmail Imperf Pair Latvija-Afrika OVP Michel #223-224 CV â‚¬700++,no
Germany  Dt. Reich Mi. Nr. 609-616** Olympic Games MNH Postfrisch,no
EUROPA CEPT Montenegro 2006 Block - 50 J. Europamarken pfr/** (MNH),no
T166 2009 GUINE-BISSAU PETS DOGS & BIRDS CAES DE CACA E AVES KB+BL MNH,no
GUERNSEY MNH STRIP OF BOOKLET STAMPS FACE OR BELOW FACE LOT C1,no
41) INDONESIA 1981 WIPA 1981 - PAINTINGS - BIRTH OF EAGLE  -BIRD MNH SET-PERFECT,no
GUERNSEY MNH STRIP OF BOOKLET STAMPS FACE OR BELOW FACE LOT C2,no
EUROPA CEPT Montenegro 2006 Block B ungezÃ¤hnt - 50 J. Europamarken pfr/** (MNH),no
T168 2009 GUINE-BISSAU FISH&MARINE LIFE TROPICAL FISH PEIXES TROPICAIS KB+BL MNH,no
GUERNSEY MNH STRIP OF BOOKLET STAMPS FACE OR BELOW FACE LOT C5,no
EUROPA CEPT Nicaragua 2006 - 50 J. Europamarken postfrisch/** (MNH),yes
"1920 1c Mayflower commemorative pair, Scott #548, MNH, Very Fine, gum rubs",yes
GUERNSEY MNH STRIP OF BOOKLET STAMPS FACE OR BELOW FACE LOT C6,no
GUERNSEY MNH STRIP OF BOOKLET STAMPS FACE OR BELOW FACE LOT C7,no
POLAND 1947 2z brown SG580A CV Â£0.65 mint MNH FG,no
GERMANY REICH 1937 MNH 6 + 19 Pf Block of 4 from Sheet Michel #650 CV â‚¬75,no
EUROPA CEPT Ã–sterreich 2006 - 50 J. Europamarken postfr./** (MNH),no
BRD sehr gutes Lot postfrisch ** MNH Deutschland -X901,yes
"Deutsches Reich Sammlung ** postfrisch, MNH -siehe Bild- -J806",no
EUROPA CEPT Peru 2005 - 50 J. Europamarken postfrisch/** (MNH),no
TONGA  C303 - 305  Beautiful  Mint  Never  Hinged  Set  AG1766,no
42) INDONESIA 1982 BIRDS OF PARADISE MNH SET + STAMP FROM MINISHEET - PERFECT,no
"Deutsches Reich Sammlung ** postfrisch besserer Werte, MNH -siehe Bild- -J095",yes
EUROPA CEPT RumÃ¤nien 2005 - 50 J. Europamarken postfrisch/** (MNH),no
Solomon Islands-2006-SG MS1170-QE II 80th Birthday Minisheet-MNH,no
Germany  Dt. Reich Mi. Nr. 632-633** Blocks of Four MNH Postfrisch,no
