aucitem,interested
"CLUJ 1919 BEAU LOT de 4 taxes NEUFS** MNH SignÃ©s Cote 595,00â‚¬",no
"Russia 1917 26th issue, 1 rub Full Sheet, SHIFTED BACKGROUND, MNH",no
"NEW ZEALAND, LOT OF STAMPS, MNH and MH",no
T256 2009 UNION DES COMORES PONGISTES CELEBRES TIMO BOLL WANG HAO 1KB+1BL MNH,no
TEHRAN 2010 NOROUZ 89 + 2011 FAMOUS PEOPLE + 200 people  MNH,no
1937 Germany Reich Mi Block 7  48th Birthday of  Adolf Hitler MNH Philacall (566,no
SINGAPORE 2006 ART WHITE ELEPHANT SUMMER LOTUS  MNH,yes
PHILIPPINES 1997 ANDRES BONIFACIO KALAYAAN MNH,no
T258 2009 UNION DES COMORES CELEBRITES FRANCAISES NAPOLEON EIFFEL 1KB+1BL MNH,no
T259 2009 UNION DES COMORES FAMOUS PEOPLE CHARLES DARWIN SPACE ANIMALS KB+BL MNH,no
Germany Generalgouvernement Poland Mi. 96-100** Corners MNH Postfrisch,yes
Helicopter Aviation MNH imperf M/S of 6 stamps,no
T26 2009 MOCAMBIQUE HOMEM NA LUA SPACE APOLLO 11 ASTRONAUTES 1KB+1BL MNH,no
â™  ESPAGNE 1931-34 # 507 Y&T  PAIRE SANS CHIFFRE AU VERSO NEUF **/ MNH 170 â‚¬,no
"Russia 1917 26th issue, 3 rub 50 kop Full Sheet, imperforated, MNH",no
"ANDORRE 1975/84 - 6 ANNEES COMPLETES NEUVES (1979/84)** MNH Cote 156,00â‚¬",no
FRANCE: SCOTT 1084-1090-1106-07-1113-14  MNH VF SET 1964 PAINTINGS -  ART ISSUE,no
â™  LUXEMBOURG 1957 EUROPA # 531/33 Y&T SERIE NEUVE **/ MNH 150 â‚¬,no
Dominica KGVI 1947 2/- slate & purple SG106a UM/MNH,no
FRANCE: SCOTT 1115-1115-1117  MNH VF SET - 1965 PAINTINGS -  ART ISSUE,no
T262 2009 UNION DES COMORES TRAINS CELEBRES FAMOUS PEOPLE 1KB+1BL MNH,no
Helicopter Aviation MNH M/S of 6 stamps,no
T263 2009 UNION DES COMORES NOBEL PRIX DECOUVERTES CELEBRES EINSTEIN 1KB+1BL MNH,no
â™  FRANCE - REUNION 1955-56 # 320/30 Y&T SERIE NEUVE **/ MNH 43 â‚¬,no
P4249/ INDOCHINE INDOCHINA CANTON / MAURY # 26 NEUF / MINT MNH 65 â‚¬,no
R.S.I 1944-46 DUE SERIE COMPLETE MNH** CON E SENZA FILIGRANA SASSONE S110 + S113,no
"Russia 1917 26th issue, 5 rub Full Sheet, MNH",no
Portugal lot of Souvenir Sheets MNH** #1 (T),no
T265 2009 UNION DES COMORES FAMOUS PEOPLE DECOUVERTES CELEBRITES 1KB MNH,no
R.S.I LOTTO MNH** 7 VALORI SERIE COMPLETE,no
T266 2009 UNION DES COMORES FAMOUS PEOPLE CELEBRITES 3BL MNH,no
â™  BELGIQUE 1949 # 792/94 Y&T NEUF **/ MNH 165 â‚¬,no
LUOGOTENENZA LOTTO 13 VALORI MNH** SERIE COMPLETE CON DUE VARIETA',no
T267 2009 UNION DES COMORES FAMOUS PEOPLE CELEBRITES 3BL MNH,no
â™  FRANCE - REUNION 1957-59 # 331/41 Y&T SERIE NEUVE **/ MNH 37 â‚¬,no
Scott 2032 - 35 Ballons 20 Cent Block of 4 MNH,no
Portugal lot of Souvenir Sheets MNH** #2 (T),no
ITALIAN COLONIES AEGEAN PATMO 1932 Garibaldi set / MNH G80616,no
"Stamps Canada # 458, 5Â¢, 1967, plate #2, 4 plate blocks of 4 MNH stamps.",no
LUOGOTENENZA 1944 SERIE COMPLETA MNH** FILIGRANA CORONA SASSONE S117,no
T27 2009 MOCAMBIQUE SPACE HISTORIA DO VOO ESPACIAL 1 1KB+1BL MNH,no
"BAHAMAS sc#293a,312a (1969-70) SHEETS MNH",no
Portugal lot of Souvenir Sheets MNH** #3 (T),no
T271 2010 UNION DES COMORES MARINE LIFE ANIMALS DE L'ANTARCTIQUE 1KB+1BL MNH,no
Dominica KGVI 1938 2/6 black & vermilion SG107 UM/MNH,no
"ITALIAN COLONIES CASTELROSSO 1930 Ferrucci L.1,25 MNH G80022",no
LUOGOTENENZA 1944-45 SERIE COMPLETA MNH** SASSONE S118 SENZA FILIGRANA,no
Portugal lot of Souvenir Sheets MNH** #4 (T),no
