aucitem,interested
Australia 2014 Ashes Victory $2.60 block of 4 MNH,no
JERSEY 1999 TOURISM LILLIE THE COW REISSUED DATE SET OF 4 MNH,no
ISLE OF MAN 2006 BIRD ATLAS SELF-ADHESIVE SET OF 10 MNH,no
USA 1988 Greetings booklet pane MNH (A),no
USA 1988 Greetings booklet pane MNH (B),no
USA 1990 booklet pane MNH,no
C24836 Royal Mail Machin Heads 10$ 14p  Booklet MNH Great Britain,no
D101049 Space Satellites MNH Panama Triangulars,no
1971 MONACO FRANCE SHEET CHURCH ST MICHEL EUROPA VF MNH N41.18 START 0.99,yes
D101050 Space Astronauts W. Schirra MNH Paraguay Imperforate,no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
D101052 Space Satellites Relay - Telstar MNH Niger Imperforate,yes
2000 REP CENTRAFRICAINE SHEET WILDLIFE KOALA OLYMPICS VF MNH N41.17 START 0.99,no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
D101053 Dinosaurs MNH Romania,no
USA 8 sets in blocks of 4 MNH (1 block is hinged),no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
D101054 Stamps on Stamps MNH Fernando Poo,no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
2011 AUSTRALIA SHEET WILDLIFE KANGAROO EXPO CHINA 2011 VF MNH N41.18 START 0.99,no
D101055 Mushrooms MNH Bulgaria,no
D101056 Trains Locomotives MNH Bulgaria,yes
"CHINA PRC SC # 981,YANG # W8 MNH",no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
Austria 1952 Children's Correspondence SG1240 MNH,yes
Falkland Islands 1995 Transporting Peat Set SG742-5 MNH,no
Netherlands 1872 5c Blue SG8 MNH Horizontal Crease,no
South Georgia 1992 10th Anniversary of Liberation MS222 MNH,no
Falkland Islands 1995 Flowers MNH,no
D101057 Flowers MNH Bulgaria,yes
D101058 Centenary of the UPU S/S MNH Barbuda Imperforate,no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
D101060 Centenary UPU S/S MNH Barbuda Imperforate,no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
Indonesia Ships 1995 s/sheet MNH,no
Indonesia Sports 1989  nice lot MNH Tennis/ Judo/ Volleyball/ Boxing/,no
Butterflies Indonesia 1993 MNH,no
Indonesia Flowers 1992 MNH,no
Indonesia Soccer worldcup 1994 MNH,no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
Indonesia nice lot MNH,no
Indonesia nice lot MNH,no
Indonesia nice lot MNH,no
Indonesia nice lot MNH,no
SWITZERLAND CARD WITH MODERN STAMPS  MNH / POSTFRIS,no
Indonesia nice lot MNH,no
Indonesia nice lot MNH,no
