aucitem,interested
Papua New Gunia Birds Booklet x 4 CTO/MNH,no
1951 GVI Nyasaland Diamond Jubilee 5s Stamp SG170 mnh,no
German selection of Hitler head stamps in great condition  MNH,no
German Hitler heads selection of stamps in great condition  MNH,no
"FRANCE 1982 - Y&T nbr.8 BLOC ""PHILEXFRANCE"" MNH CV 13 $",no
Nothern Rhodesia GV 1/2d SG1   block of 9 stamps MNH,no
Bahamas - 1977 - Silver Jubilee - SG MS492 - MNH,no
Bahamas - 1978 - 25th Anniversary - SG MS 517 - MNH,no
CAPE VERDE WWF SCOTT 491-4 MNH SCV $50+,no
"CHINA #1716-1719 MNH TAIWAN ANIMALS; MONKEY, FLYING SQUIRREL, PANGOLIN & DEER",no
CHILE WWF SCOTT 679-82 BLOCK MNH SCV $48+,no
Turks & Caicos Islands - 1977 - Silver Jubilee - SG MS 475 - MNH,no
ZAMBIA WWF SCOTT 427-30 MNH SCV $13+,no
Turks & Caicos Islands - 1981 - Royal Wedding - SG MS 656 - MNH,no
BOTSWANA WWF SCOTT 432-5 MNH SCV $20+,no
ST LUCIA WWF SCOTT 902-5 MNH SCV $21+,no
"Alliierte Besetzung Plattenfehler 964V ** postfrisch, MNH -I241",no
CROATIA-NDH-WWII-LANDSCAPE BLOCKS ON RARE PELURE PAPER-MNH,yes
PAPUA NEW Guinea PNG 1999 Hiri Moale Festival Mini Sheet MNH x 3 (PAP226),no
"Bangladesch 9x 186-189 ** postfrisch als Einheit Motiv:""VÃ¶gel"", MNH -I649",no
PORTUGAL WWF SCOTT 1716-9 MNH SCV $11+,no
British Commonwealth - Good MNH & MM Selection,no
KOREA WWF SCOTT 2679-82 MNH SCV $12+,no
"Belgien 344-346 ** postfrisch, Belgium MNH -H296",yes
PAPUA NEW Guinea PNG 2002 Butterflies Three Values.MNH Sheets(45 Stamps)Pap230,no
Belgium 1905  LÃ©opold II - Block of four + one - Stamps Mint Never Hinged,no
"RUSSIA 1957 SC 1987, 1997 LENIN, LENIN STATUE    MNH #5714",no
PAPUA NEW GUINEA WWF SCOTT 697-700 MNH SCV $16+,no
Scott #2568-77 â€“ 1991 29c Space Exploration - Strip of 10 MNH,no
LESOTHO WWF SCOTT 512-5 MNH SCV $18+,no
U108 1995 TOKELAU BUTTERFLIES 1SET MNH,yes
U109 1978 REPUBLIQUE DE DJIBOUTI BUTTERFLIES 1SET MNH,no
U110 FIJI INSECTS 1SET MNH,no
BHUTAN WWF SCOTT 413-6 MNH SCV $7+,no
U111 FIJI INSECTS 1SET MNH,no
U112 FIJI INSECTS & BUTTERFLIES 1SET MNH,no
1965 ERII I.C.Y. COMPLETE CROWN AGENTS VF MNH** inc. HONG KONG & F.N.H - 32 SETS,no
U113 1998 REPUBLIQUE DU MALI INSECTS ANTS 1SET MNH,no
U114 1991 NIUAFO'OU INSECTS 1SET MNH,no
U115 1993 SOOMAALIYA BUTTERFLIES 1SET MNH,no
MALAWI WWF SCOTT 494-7 MNH SCV $20+,no
U116 1999 DU CONGO INSECTS SCORPIONS SPIDERS 1KB MNH,no
U117 COOK ISLANDS FLORA & FAUNA BUTTERFLIES PLANTS FLOWERS 1SET MNH,yes
U118 PITCAIRN ISLANDS INSECTS DRAGONFLY 1SET+1BL MNH,no
NORFOLK ISLAND WWF SCOTT 421A-D MNH SCV $18+,no
U119 PITCAIRN ISLANDS INSECTS BUTTERFLIES SALT & PEPPER MOTH 1SET+1BL MNH,no
U120 2014 NIUAFO'OU FLORA & FAUNA BUTTERFLIES NATURE 1SET MNH,no
U122 VANUATU FLORA FLOWERS BUTTERFLIES OF VANUATU 1KB MNH,no
