aucitem,interested
Lot Stamps Timbres Zambia Zambia MNH**,no
ALDERNEY MNH 1992 BATTLE OF LA HOGUE SHIPS PAINTINGS ART CV Â£8+,no
Estonian MNH Postage Stamps 1996 (Scott's #305) Miniature Souvenir Sheets ~ 706,no
Japan MS MNH High Cat 3 minor folding creaze,yes
D99286 Space MNH Vietnam,no
TONGA    Beautiful  Mint  Never   Hinged   AG1738,no
D99287 Space Apollo 11 MNH Togo,no
Lot Stamps Timbres Zambia Zambie MNH** 2,no
"Russia, USSR, 1944, SC 938-941, MNH, imperf. d3687",no
D99288 Space Apollo 13 Black Overprint MNH Cook Islands,no
ALDERNEY MNH 1993 SEA LIFE HORIZ STRIP WITH SURROUND,no
D99289 Aircrafts Famous People MNH Liberia,no
-- JAPAN - MNH - SPORT - OLYMPIC - 16 STAMPS,no
-- JAPAN - MNH - SPORT - OLYMPIC - SOCCER - CYCLING,no
-- KATHIRI - MNH - SPORT - OLYMPIC - IMPERF,no
Estonian MNH Postage Stamps 1996 (Scott's #310-312) Singles & Blocks of 4 ~ 710,no
D99290 Space Centenary UPU MNH Guinea Bissau,no
D99291 Space shuttle MNH Togo,no
ALDERNEY MNH 1995 TOMMY ROSE HORIZ STRIPS x 2 MILES FALCON TRAFFIC LIGHTS,no
D99292 Space Moonlanding MNH Manama,no
ALDERNEY MNH 1995 MINISHEET RETURN OF ISLANDERS WORLD WAR 2 EVACUEES,no
-- TOGOLAISE - POLAND - MNH - SPORT - SOCCER,no
Estonian MNH Postage Stamps 1996 (Scott's #315-316) Singles & Blocks of 4 ~ 713,no
-- UMM AL QIWAIN - MNH - SPORT - OLYMPIC - ARCHITECTURE,no
D99293 Space Apollo MNH Ajman,no
Estonian MNH Postage Stamps 1996 (Scott's #317) Single &  Block of Four ~ 714,no
D99294 Space MNH Rwanda,no
D99295 Space Stamps on Stamps MNH Ras Al Khaima,no
Estonian MNH Postage Stamps 1997 (Scott's #319) Miniature Souvenir Sheets ~ 716,no
D99296 Space Satellites MNH Caribbean Region,no
D99297 Space Satellites MNH Caribbean Region,no
"RUSSIA, 1950  UNDERGROUND RAILWAY SET MNH, 40K IS FU",no
D99298 Space Centenary Telephone MNH Guinea Bissau Imperforate,no
1933 FEDERAL BUILDING SOUVENIR SHEET OF US COMMEMORATIVE STAMPS - MNH,no
CANADA  GV 1928  AIR 5c OLIVE-BROWN MINT NEVER HINGED  SG 274 c.v. Â£8,yes
D99299 Space Centenary Telephone MNH Guinea Bissau,no
Papua New Gunia. Postal Charges MNH. Dues MH.,no
Estonian MNH Postage Stamps 1997 (Scott's #327) Single & Corner Block of 4 ~ 721,no
D99301 Space Apollo MNH Paraguay,no
Y.A.R. ARAB MIDDLE EAST WILDLIFE SET BIRDS BIRD VF MNH N79.20 START 0.99,no
"RUSSIA, 1951 KALININ SET MNH",no
Finnland Suomi 1994; MH 36 MiNr. 1240-1241 ** MNH (4 x); Die MUMINS,no
D99303 Space Apollo-Soyuz MNH Comoro Islands,no
1967 SOUTH AMERICA WILDLIFE SET BIRDS BIRD STORK PARROT VF MNH N79.20 START 0.99,no
D99304 Space Apollo-Soyuz MNH Comoro Islands,no
Estonian MNH Postage Stamps 1998 (Scott's #333) Single &  Block of Four ~ 725,no
Papua New Gunia Booklets x 3 MNH,no
"Classic U.S.1955 6c Teddy Roosevelt Plate Block, LR Plate #25854, MNH, SC 1039",no
