aucitem,interested
DENMARK 1982 - (HS25) Adam OehlenschlÃ¤ger - MNH Stamp Booklet - (83c),no
"Israel 1957-1959 12 tribes of Israel, + w/o WM, complete set, Mi#152-158, MNH",no
1950 TRIESTE ZONA A AMG FTT LOTTO VALORI NUOVO MNH**,no
Full Sheet Lundy 1982 Puffin 19 Animals Birds MNH,yes
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 08,no
DENMARK c1979 - (H47) 10kr Booklet - MNH Stamp Booklet - (88c),no
"1950 TRIESTE ZONA A AMG FTT ""ITALIA AL LAVORO"" SERIE VALORI NUOVO MNH**",yes
T48 2009 MOCAMBIQUE SHIPS HISTORIA TRANSPORTE MARITIMO 1 1KB+1BL MNH,no
T49 2009 MOCAMBIQUE SHIPS HISTORIA DO TRANSPORTE MARITIMO 2 1KB+1BL MNH,no
Full Sheet Lundy 1982 Puffin 18 Animals Birds MNH,no
ESTONIA 1992 Birds at the Baltic Shores - MNH Stamp Booklet  - (354),no
T5 2009 MOCAMBIQUE FAMOUS PEOPLE GALILEO GALILEI SPACE ASTRONOMIA 1KB+1BL MNH,no
1949-54 TRIESTE ZONA A AMG FTT LA SERIE SEGNATASSE NUOVO MNH**,no
1949-54 TRIESTE ZONA A AMG FTT SEGNATASSE NR.18 VALORE IN QUARTINA NUOVO MNH**,no
T54 2009 S.TOME E PRINCIPE AVIATION FAUNA BIRDS CHARLES LINDBERGH 2KB MNH,no
1949-54 TRIESTE ZONA A AMG FTT SEGNATASSE NR.27 VALORE IN QUARTINA NUOVO MNH**,no
FINLAND 1991 Birds  - MNH Stamp Booklet  - (367),no
T56 2009 S.TOME E PRINCIPE FAMOUS PEOPLE TRIBUTO A FARRAH FAWCETT 1KB+1BL MNH,no
T57 2009 S.TOME E PRINCIPE ART PABLO PICASSO CEZANNE MUSEU GRANET 1KB+1BL MNH,no
"Poland first stamps, 1860 Fi:#1 mnh unused",no
GERMANY 1950 BACH ( 2 ) MNH CAT Â£165,no
GERMANY 1949 UPU 30pf MNH CAT Â£80,no
GERMANY 1949 STAMP CENTENARY ( 3 ) MNH CAT Â£120,no
GERMANY 1949 RELIEF FUND SET ( 4 ) MNH CAT Â£160,yes
PORTUGAL 1926 - Independencia de Portugal 3$00 - MNH,no
GERMANY 1949 PARLIAMENT ( 2 ) MNH CAT Â£135,no
1949 TRIESTE ZONA A AMG FTT LOTTO VALORI NUOVO MNH**,no
T6 2009 MOCAMBIQUE ANO INTERNACIONAL POLAR ANIMALS KARL WEYPRECHT 1KB+1BL MNH,no
Germany - Bavaria/Bayern - 1911 Ludwig set in Block 4 - MNH - see scans/details,no
AUSTRIA 1953 1s50 LINZ NATIONAL THEATRE MNH CAT Â£34,yes
AUSTRIA 1952 OLYMPIC GAMES MARGINAL BLOCK OF 4 MNH CAT Â£164,no
AUSTRIA 1952 2s40+60g OLYMPIC GAMES MARGINAL MNH CAT Â£41,no
T60 2009 S.TOME E PRINCIPE MARINE LIFE DOLPHINS CETACEOS KB+BL MNH,no
AUSTRIA 1952 2s40 CHILDRENS CORRESPONDENCE MNH CAT Â£23,no
AUSTRIA 1949 UPU SET ( 3 ) IN MNH PAIRS CAT Â£56,no
GREECE 1993 EUROPA MNH Stamp Booklet   -  (414),no
AUSTRIA 1949 CHILD WELFARE FUND SET ( 4 ) MNH CAT Â£110,yes
Better old swedish booklets. High value. MNH,no
T62 2009 S.TOME E PRINCIPE ART PAUL CEZANNE PICASSO MUSEU GRANET KB+BL MNH,no
PORTUGAL 1926 - Independencia de Portugal 4$50 - MNH,yes
UNITED STATES 1989/90 UPU / Indian Headdresses 5v + block of 4 MNH / G80097,no
Germany Deutsches Reich BÃ¶hmen und MÃ¤hren (MNH) 1942/44,no
T64 2009 S.TOME E PRINCIPE MUSHROOMS FLORA PLANTS ORQUIDEAS 1KB+1BL MNH,no
T65 2009 S.TOME E PRINCIPE FAMOUS PEOPLE MARILYN MONROE KB+BL MNH,no
"1949 TRIESTE ZONA A AMG F.T.T. ""BIENNALE DI VENEZIA"" SERIE VALORI NUOVO MNH**",no
PORTUGAL 1926 - Independencia de Portugal 10$00 - MNH,no
Germany Deutsches Reich BÃ¶hmen und MÃ¤hren Dienstmarken Mi# 13-24 (MNH) 1943,no
1948 TRIESTE ZONA A AMG FTT LA SERIE CAMPIDOGLIO NUOVO MNH**,no
