aucitem,interested
D49. Gambia - MNH - Word War I - 2015,no
O57. Tanzania - MNH - Nature - Butterflies - 2011,no
D49. Guinea - MNH - Nature - Marine Life,no
COOK ISLANDS ADORATION OF THE WISE MEN SOUVENIR SHEET MNH,no
D99226 Space Sputnik Apollo Vostok Dog Laika MNH Mongolia,no
D49. Guinea - MNH - Nature - Marine Life,no
O57. Union Island - MNH - Nature - Butterflies - 2011,no
CANADA  GVI  1951  $1 ULTRAMARINE FISHERMAN  MINT NEVER HINGED  SG 433  c.v. Â£40,yes
MONTSERRAT # 613 UMPERFORATE HALLEY'S COMET SOUVENIR SHEET MNH,no
D49. Guinea-Bissau - MNH - Art,no
D99227 Space Telecommunications & Health MNH Rwanda,no
D49. Guinea-Bissau - MNH - Art,no
D49. Guinea-Bissau - MNH - Art,no
D99228 Space Antarctic Treaty MNH British Antarctic Territory Gutterpairs,no
D49. Guinea-Bissau - MNH - Transport - Ships,no
D49. Kiribati - MNH - Transport - Ships,no
Russia - 1957 - Mi Block 23 MNH (485),no
D49. Liberia - MNH - Word War I - 2015,no
D49. Micronesia - MNH - Nature - Birds - 2015,no
D49. Micronesia - MNH - Nature - Seastars,no
D49. Micronesia - MNH - Nature - Sharks - 2014,no
D49. Mongolia - MNH - Art - Cartoons,no
Russia - 1959 - Mi Block 28 MNH (484),no
D49. Mongolia - MNH - Nature - Birds,no
D49. Montserrat - MNH - Art,no
D49. Montserrat - MNH - Nature - Bees - 2015,no
Lebanon Liban 2001 ESCWA Scott#555 MNH CV$+32 (AM16),no
D49. Nauru - MNH - Transport - Ships,no
D49. Nicaragua - MNH - Nature - Bugs,no
D49. Nicaragua - MNH - Nature - Butterflies,no
Russia - 1959 - Our Beautiful Land - Mi 2300/8 MNH (723),yes
D49. Nicaragua - MNH - Nature - Fishes,no
D99232 Space Satellites Dog Rocket  MNH Nicaragua,no
D49. Palau - MNH - Transport - Planes - WWII - 2015,no
D49. RSA - MNH - Art,no
D49. RSA - MNH - Art,no
D49. S.Tome E Principe - MNH - Nature - Animals,no
D99233 Space Apollo 11 Moonlanding Black Overprint MNH State of Oman,no
D49. S.Tome E Principe - MNH - Nature - Birds,no
D49. Samoa - MNH - Transport - Cars,no
df L 08479/ Block 01 UNO NY ** MNH 10 Jahre UNO,no
D99234 Space Lunar Landing Apollo 11 Overprint MNH State of Oman Imperforate,no
D49. St.Kitts - MNH - Nature - Birds - 2015,no
D49. St.Kitts - MNH - Nature - Birds - 2015,no
D49. St.Kitts - MNH - Nature - Fishes - 2015,no
D99235 Space Christmas overprint MNH Togo,no
D49. St.Vincent - MNH - Nature - Animals - 2015,no
Russia - 1960 - Lenin's Birthday - Mi 2330/5 MNH (722),no
