aucitem,interested
[ST5120] Liechtenstein 1972-73 good set of stamps very fine MNH,yes
[HG5264] France 2008 good Very Fine MNH sheet,no
"[E148] TAAF 1989 : boat, nice VF MNH airmail set",no
[HG5265] Antigua Coaches good Very Fine MNH complete adhesive souvenir bookl. x3,no
"[E149] TAAF 1990 : boat, nice VF MNH airmail set",no
[ST5175] Liechtenstein 1959-64 good set of stamps very fine MNH,yes
"ITALIA ITALY ITALIEN LOTE MNH SIN CHARNELA, LH Y USADOS EXCELENTE!!!",no
[E1503] St P Miquelon 1962 flowers good very fine MNH set,yes
[HG5266] Papua New Guinea 1999 Boats good Very Fine MNH sheet x2,no
"Russia USSR 1957 1st Artificial Satellite, complete set, Zagor. #2011, MNH",no
[E1504] St P Miquelon 1963 good very fine MNH stamp,no
[HG5268] Liechtenstein 1962 good Very Fine MNH sheet x2,no
BUND POSTHORN BIG LOT WITH Mi. 133 MNH FINE!!!,no
[ST5192] Liechtenstein 1943 Good set of stamps very fine MNH,no
[E1505] St P Miquelon 1964 good very fine MNH stamp,no
TAAF Timbre neuf *** MNH 18 minÃ©raux 1989 + 1994 Ã  2009 (18 valeurs),no
[ST5193] Liechtenstein 1965 Good stamp very fine MNH,no
[E1506] St P Miquelon 1964 fauna good very fine MNH set,no
040635 Rinder Ox Zodiac China New Year Gambia 2520-27+KB+Bl 323 ** MNH Year 1997,no
TAAF Timbre neuf *** MNH Bloc Baleines 2011,no
[E1507] St P Miquelon 1967 good very fine MNH set value $30,no
[ST5194] Liechtenstein 1976 Good set of stamps very fine MNH,no
"[E150] TAAF 1990 :  birds, nice VF MNH airmail stamp",no
[HG5271] Sao Tome & Principe 1983 Painting good Very Fine MNH imperf. sheet x5,no
TAAF Timbre neuf *** MNH Bloc Canards d'Eaton 2013,no
[ST5195] Liechtenstein 1994 Art Good stamp very fine MNH,no
France 1967 - Small mint (MNH) selection of stamps  - (160),no
[E1516] St P Miquelon 1970 fruits good very fine MNH set,no
[ST5196] Liechtenstein 1994 Flora Good set of stamps very fine MNH,no
[HG5272] Rwanda 1970 Space good Very Fine MNH set of imperf. stamps x5,no
[E151] TAAF 1991 : nice VF MNH airmail set,no
TAAF Timbre neuf *** MNH Bloc HÃ©licoptÃ¨res polaires 2013,no
[ST5199] Liechtenstein 1995 Painting Good set of stamps very fine MNH,no
[HG5273] Slovenia 2001 Europa good Very Fine MNH sheet x3,yes
[E1526] St P Miquelon 1974 good very fine MNH stamp,no
[ST5200] Liechtenstein 1995 Flowers Good set of stamps very fine MNH,no
[HG5274] Sao Tome & Principe 1981 Beethoven good Very Fine MNH imperf. sheet x3,no
"[E152] TAAF 1991 :  de Gaulle, nice VF MNH airmail stamp",no
TAAF Timbre neuf *** MNH Bloc nÂ°11 GÃ©rances postales,no
[E1530] St P Miquelon 1975 butterflies good very fine MNH set value $40,no
TAAF Timbre neuf *** MNH Bloc nÂ°13 Cinquantenaire des TAAF,no
GERMANY  SAMPLE STAMPS 1975 opted with 'MUSTER'  MNH  FULL GUM *SEE NOTES* RARE,no
[ST5327] Liechtenstein 1961 Good set of stamps very fine MNH,no
TAAF Timbre neuf *** MNH Bloc nÂ°14 Manchots,no
[E1532] St P Miquelon 1976 olympics good very fine MNH set,no
TAAF Timbre neuf *** MNH Bloc nÂ°17 Albatros,no
[E1533] St P Miquelon 1976 boats good very fine MNH set,no
TAAF Timbre neuf *** MNH Bloc nÂ°18 Iles Eparses,no
