aucitem,interested
1997 PANAMA WWF SET WILDLIFE CROCODILE VF MNH N41.18 START 0.99,no
"RUSSIA, 1947   ZHUKOVSKY SET MNH",no
"UAR Printing Experiment 5 Different Essay stamps United Arab States Flags, MNH",no
"RUSSIA, 1945  V.E. DAY , 1MNH 1 FU",no
"RUSSIA, 1943  VITUS BERING  SET MNH  , SOME GUM CREASES",no
Dt. Besetzung - Luxemburg   ** postfrisch - MNH      KOMPLETT,no
"RUSSIA, 1943 25TH ANNIVERSARY OF REVOLUTION  SET MNH",no
"RUSSIA, 1946  SPORTS FESTIVAL  SET MNH",no
"$100 Face Value US Postage Stamps, All MNH, All Good For Postage",no
SWITZERLAND  B202 - 205  Beautiful  Mint  Never  Hinged   Set  UPTOWN 16302,no
"RUSSIA, 1934   AIR SET MNH",no
"== FRANCE 1990(A) - Lot de 20 timbres Neufs** MNH - Valeur faciale : 8,65 Euros",yes
SWITZERLAND  281 - 283   Beautiful  Mint  Never  Hinged   Set  UPTOWN 16303,no
"Bicentennial Souvenier Stamp Sheets, 4 Sheets, MNH Scott 1686-1689",no
"== FRANCE 1990(B) - Lot de 14 timbres Neufs** MNH - Valeur faciale : 6,93 Euros",no
"RUSSIA, 1944 SET OF 5 MNH, 1K IS MH",no
"RUSSIA, 1945  LIBERATION OF RUSSIA SET MNH, BUT NO GUM",yes
1981 THE GAMBIA WWF WILDLIFE DWARF CROCODILE 60B VF MNH N41.18 START 0.99,no
"RUSSIA, 1945 MEDALS OF MOTHERHOOD SET MNH",no
"RUSSIA, 1945   RELIEF OF STALINGRAD SHEET MNH",no
BANGLADESH ASIA WWF SET WILDLIFE CROCODILE VF MNH N41.19 START 0.99,no
IRELAND (1969) MNH SET: BIRTH CENTENARY OF MAHATMA GANDHI,no
Iceland Christmas sheets mint from 1957 and 1958 - MNH,no
Canada MNH Flying River Dart Die Cut Stamp Lot#P18,no
"1949 China PRC - 50 stamps, MNH, no gum",no
1913 #UX26 POSTAL CARD 1c LINCOLN GREEN MNH GEM!,no
1911 #UX23 POSTAL CARD 1c LINCOLN RED MNH GEM!,no
1992 COLOMBIA WILDLIFE CAIMAN DEL MAGDALENA CROCODILE VF MNH N41.19 START 0.99,no
"RUSSIA, 1941 MOBILISATION SET MNH",no
GRENADA & PETITE MARTINIQUE WILDLIFE CROCODILE $2 VF MNH N41.19 START 0.99,no
RUSSIA 1937.ARHITECTURE S/S MNH TWO CREASES,no
Canada MNH Girl Guides of Canada Die Cut Stamp Lot#N5,no
"RUSSIA, 1944  WAR MEDALS  2ND SERIES SET MNH",no
SCOTT #3137   US SOUVENIR SHEET   BUGS  BUNNY  32 CENT     MNH,no
1987 NORTH AMERICAN WILDLIFE COMPLETE SET OF 50 - MNH - BELOW FACE,yes
SCOTT #3306   US SOUVENIR SHEET    DAFFY  DUCK  33 CENT    MNH,no
SCOTT #3317-20   US SOUVENIR SHEET    AQUARIUM  FISH  33 CENT    MNH,no
SCOTT #3321-24   US SOUVENIR SHEET    XTREME  SPORTS  33 CENT    MNH,no
SCOTT #3378   US SOUVENIR SHEET   PACIFIC  COAST  RAIN  FOREST  33 CENT     MNH,no
SCOTT #3391   US SOUVENIR SHEET    WILE  E.  COYOTE  33 CENT    MNH,no
SCOTT #3408   US SOUVENIR SHEET    LEGENDS  OF  BASEBALL  33 CENT    MNH,no
SCOTT #3506   US SOUVENIR SHEET   GREAT  PLAINS  PRAIRIE  34 CENT     MNH,no
"RUSSIA, 1945   RELIEF OF STALINGRAD SHEET MNH CANCELLED",no
Philippines 1934 SG 457 Scott 381 Mint MNH UMM Tennis Block of 4,no
LUXEMBURG   Michel-Nr.  45 - 56  **  postfrisch / MNH,no
"Queen Elizabeth II x 3 Miniature sheets, 2007, Mint Never Hinged Condition",no
"RUSSIA, 1946  DNIEPERPROSTROI SET MNH",no
"RUSSIA, 1945 29TH ANNIVERSARY OF REPUBLIC SET MNH",no
