aucitem,interested
IRELAND EUROPA SCOTT 369-70 MNH SCV $10,no
Congo - Inverted surcharge - MNH Stamp - UNO,no
Guernsey - 1992 - Columbus - SG MS 560 - MNH,no
STAMPS FRANCE SAINT-PIERRE COLLECTION+ FEZZAM(MNH)  MVLH PERFECT $$$$$$   JP525,no
a stock page of Disney MNH stamps&S/Sheet from Sierra Leone.,no
France - Pasteur Accordion Fold - MNH Stamps,no
"(*ta4) DOMINICA MID MODERN VF MNH EXTENSIVE SOUVENIR SHEETS STOCK, W/OVERSIZED",no
Italien sehr gutes Lot postfrisch ** MNH Italia -X645,no
GERMANY 1920 SARRE. 3 Pf Mi.3 I.K.Cat 650  â‚¬ MNH,no
a stock page of Disney MNH stamps&S/Sheet from 1986 Grenada.,no
Guernsey - 2001 - Scenes - SG 901/910 - Self Adhesive MNH Set,no
France - Semeuse Print Error - MNH Stamps,no
"(*ta4) PHILIPPINES MID-MODERN HUGE LOT OF XF MNH SOUVENIR SHEETS, BLOCKS, CV!",no
Germany LIADY Mi.1 MNH+USED CAT. 9000 â‚¬ SIGNED,no
"(*ta9) UN XF MNH HIGH FACE NEW ISSUES S/S, BLOCKS STOCK, 1999-2000's",no
Edifil 1025**. Nuevo sin fijasellos. MNH.,no
GERMANY LIBAU Mi.4 B MNH.CAT  500 â‚¬. SIGNED,no
THAILAND - 1955 Naresuan the Great Unmounted MNH,yes
GERMANY OCCUPATION  ESTLAND ELWA MNH Mi.II A.Cat 5000 â‚¬ SIGNED,no
"Jordan 1948 Palestine Occupation Postage Due set of 5, MNH, Gibbons PD23-29",no
THAILAND - 1955 King Taksin Unmounted MNH,no
US Sheet  MNH Scott # 2785-88 Children's Classics  SUPERB & BELOW FACE VALUE,no
5-1976 Bicentennial Souvenir sheets  Sc # 1686-1689 4 sheets ea   MNH,no
"Jordan 1949 Palestine Occupation UPU 20m blue variety pair, MNH, Gibbons P33",no
THAILAND - 1955 Thao Suranaree Unmounted MNH,no
"Jordan 1953 3 mils emerald inverted red ""POSTAGE"" surcharge, MNH, Gibbons 396a",no
France 1925 - Yv # 216 - MNH Stamp A3840,no
POLAND 1953 1z35 green SG819 CV Â£1.30 mint MNH FG,no
"Jordan 1953 3 mils emerald double red ""POSTAGE"" surcharge, MNH, Gibbons 396b",no
Germany Berlin 1950 - Yv # 57 - MNH Stamp,no
Germany Saar 1950 - Air Mail Yv # 13 - MNH Stamp,no
GVI SG478a 10/- UNMOUNTED MINT (MNH) Ultramarine.. Fine & clean without faults.,yes
Germany Saar 1950 - Yv # 277 - MNH Stamp,no
FRANCE 1944 WWII PETAIN ATELIER DES FAUX FORGERY MNH BLOCK x16 Stamps High cat,no
"Jordan 1953 2F on 2M ""PALESTINE"" surcharged stamp, perf 12, MNH, Gibbons 314d",no
Greece 1951 - Yv # 575/580 - MNH Stamps,yes
Italy 1906 - Exposition Internationale - MNH Stamp,no
GOLD COAST  SG90 1921-1924 DEFINITIVE BLOCK OF 4 MNH,no
BRITISH ANTARCTIC TERRITORY SG 8 6d PLATE/ IMPRINT BLOCK OF  6 MNH,no
GOLD COAST  SG89 1921-1924 DEFINITIVE BLOCK OF 4 MNH,no
BRITISH ANTARCTIC TERRITORY SG 9 9d  IMPRINT BLOCK OF  8 MNH,no
GOLD COAST  SG87 1921-1924 DEFINITIVE BLOCK OF 4 MNH,no
GOLD COAST  SG88 1921-1924 DEFINITIVE BLOCK OF 4 MNH,no
Liechtenstein 1960 - Yv # 355 - MNH Stamps - Europa,no
"Jordan 1953 2F on 2M ""PALESTINE"" surcharged stamp, 13 1/2 x 13 MNH, Gibbons 314e",no
"French Antarctic (FSAT),  Kerguelen district coat of arms , 2016, MNH VF",no
Luxembourg 1951 - Yv # 443/448 - MNH Stamps - Europa,yes
Luxembourg 1956 - Yv # 514/516 - MNH Stamps - Europa,no
