aucitem,interested
"Russia USSR 1936-1937 regular issue 10 kop Full Sheet, inscribed margin, MNH",no
T298 2010 UNION DES COMORES SPORT TENNIS LEGENDS FEDERER NADAL AGASSI KB+BL MNH,no
BERMUDA sc#575b (1989) COMPLETE BOOKLET  MNH,no
T299 2010 UNION DES COMORES SPORT LES MARTIAUX ARTS FIGHTING KB+BL MNH,no
CORPO POLACCO 1946 FOGLIETTO MNH** SASSONE 1,no
040011 VÃ¶gel Rooster Zodiac China New Year Thailand  Bl 49 A/B Overprint ** MNH,no
"1948 CITTA' DEL VATICANO ""ARCANGELO E TOBIOLO"" N.16 P.AEREA VALORE NUOVO MNH**",yes
T3 2009 MOCAMBIQUE FAMOUS PEOPLE NAPOLEON BONAPARTE 1KB+1BL MNH,no
040012 VÃ¶gel Rooster Zodiac China New Year Thailand  2356 Kleinbogen ** MNH 2005,no
"1947 CITTA' DEL VATICANO ""SOGGETTI VARI"" P.AEREA SERIE VALORI NUOVO MNH**",no
CORPO POLACCO 1946 SERIE COMPLETA MNH** SOCCORSO DI GUERRA SASSONE S5,no
T30 2009 MOCAMBIQUE AVIATION HISTORIA DA AVIACAO 5 1KB+1BL MNH,no
"Russia USSR 1936-1937 regular issue 20 kop Full Sheet, MNH",no
STAMPS 1954 SOUTH WEST AFRICA FULL SET OF 12v SG 154-165 FRESH MNH SUPERB,no
ITALY 1993 Europa Sheet MNH(G19066),no
"1959 Egypt Scott # 467-472 Complete Set Of 6 Sheets,OG,MNH,$255.00 Catalog Value",no
040013 VÃ¶gel Rooster Zodiac China New Year Nippon 666 + Bl 57 ** MNH Year 1956,no
T301 2010 UNION DES COMORES CHAMPIONS OF FORMULA 1 MICHAEL SCHUMACHER BL+KB MNH,no
1946-68 CITTA' DEL VATICANO LOTTO SEGNATASSE NUOVO MNH**,no
T302 2010 UNION DES COMORES SPORT STARS OF RUGBY BL+KB MNH,no
"PERSIA 1882 MNH ""Sun"" Complete Set of 3 Michel #40-42 CV â‚¬320 VF",no
BOLIVIA sc#C147b (1951) SHEET  MNH,no
040014 VÃ¶gel Rooster Zodiac China New Year Nippon 1024 + Bl 78 ** MNH Year 1968,no
BOLIVIA (1988) SHEET  MNH    CALGARY OLYMPICS,no
T305 2010 UNION DES COMORES TABLE TENNIS PING PONG STARS CHAMPIONS KB+BL MNH,no
"Russia USSR 1939 ""Miner"" 15 kop Full Sheet Divided in 2 pieces, MNH",no
T306 2010 UNION DES COMORES SPORT BASKETBALL STARS OLYMPIC LONDON 2012 KB+BL MNH,no
BASE ATLANTICA 1943 CENT 25 VERDE MNH** SU 5 RIGHE SASSONE 9,no
"FRANCE 1904 BEAU FM 15c Olive nÂ°3 NEUF** MNH Cote 210,00â‚¬",no
T307 2010 UNION DES COMORES SPORT BASKETBALL STARS SHAQUILLE JORDAN KB+BL MNH,no
040015 VÃ¶gel Rooster Zodiac China New Year Nippon 1452 + Bl 101 ** MNH Year 1980,no
040016 VÃ¶gel Rooster Zodiac China New Year Nippon 2131-34 + Bl 162 ** MNH 1992,no
T308 2010 UNION DES COMORES KIND OF SPORTS OLYMPIC GAMES 2012 LONDON KB+BL MNH,no
ITALIAN OCCUPATION ITACA 1941 / 40L MNH / Signed G79763,no
T309 2010 UNION DES COMORES CHESS CHINOIS XIANGQI STARS KB+BL MNH,no
"Russia USSR 1939 ""Miner"" 15 kop Full Sheet Divided in 2 pieces, MNH",no
040017 VÃ¶gel Rooster Zodiac China New Year Nippon 3747-50 + Bl 195 ** MNH 2004,no
T31 2009 MOCAMBIQUE AVIATION HISTORIA DA AVIACAO 4 1KB+1BL MNH,no
PERSIA 1903-1904 MNH 30 Kr Green Michel #196 CV â‚¬60 VF,no
BASE ATLANTICA 1944 CENT 30 BRUNO MNH** SASSONE 28,no
Bermuda 1938 pictorials set fine mint. those inverted are MLH others mnh inc bet,no
T310 2010 UNION DES COMORES SPORT OLYMPIC GAMES 2008 PEKIN WINNERS KB+BL MNH,no
T311 2010 UNION DES COMORES CHESS LEGENDS LASKER KRAMNIK KASPAROV KB+BL MNH,no
C05) ESPAÃ‘A 1961/63** SELLOS SUELTOS NUEVOS (MNH),no
Bermuda 1953 defin set fine mnh,no
BASE ATLANTICA 1944 CENT 50 VIOLETTO MNH** SASSONE 29,no
T312 2010 UNION DES COMORES SPORT OLYMPIC GAMES 2008 PEKIN WINNERS KB+BL MNH,no
040018 VÃ¶gel Rooster Zodiac China New Year Nippon 3797 Kleinbogen ** MNH 2005,no
