aucitem,interested
U208 2006 S.TOME E PRINCIPE ART PINTURA DE TOULOUSE-LAUTREC 1KB+1BL MNH,no
NORWEGEN Jahrgang 2003 komplett postfrisch/ ** (MNH),no
U209 2006 S.TOME E PRINCIPE ART PINTURA DE AUGUSTE RENOIR 1KB+1BL MNH,no
NORWEGEN Jahrgang 2005 komplett postfrisch/ ** (MNH),no
T133 2010 REPUBLIQUE TOGOLAISE CYCLING BICYCLE SPORT BIKES TRIAL KB+BL MNH,no
U210 2006 S.TOME E PRINCIPE ART PINTURA DE VINCENT VAN GOGH 1KB+1BL MNH,no
T134 2009 GUINE-BISSAU MUSHROOMS COGUMELOS VENENOSOS 1KB+1BL MNH,no
"FRANCE 1955 ANNEE COMPLETE NEUVE** MNH  Cote 259,00â‚¬",yes
U211 2004 S.TOME E PRINCIPE ART MUSEU DO ORSAY 1KB+1BL MNH,no
NORWEGEN Jahrgang 2006 komplett postfrisch/ ** (MNH),no
T135 2009 GUINE-BISSAU NATURE GASTRONOMIA DE GUINE-BISSAU FOOD FRUITS KB+BL MNH,no
U212 2004 S.TOME E PRINCIPE ART MUSEU DO VINCENT VAN GOGH 1KB+1BL MNH,no
T136 2009 GUINE-BISSAU FAMOUS PEOPLE MICHAEL JACKSON REI DA MUSICA POP KB+BL MNH,no
U213 2004 S.TOME E PRINCIPE ART PINTURA CHINESA 1KB+1BL MNH,no
PHILIPPINES 2007 WILD DUCK birds SHEET MNH,no
NORWEGEN Jahrgang 2007 komplett postfrisch/ ** (MNH),no
T137 2009 GUINE-BISSAU FAMOUS PEOPLE ELVIS AARON PRESLEY 1KB+1BL MNH,no
U214 2004 S.TOME E PRINCIPE ART TOULOUSE-LAUTREC 1KB+1BL MNH,no
35) INDONESIA 1977 PROVINCIAL COSTUMES  - MINT NEVER HINGED SET - some brown -,yes
Hong Kong (4) mnh sov sheets,no
T138 2009 GUINE-BISSAU MARINE LIFE PEIXES MAIS VELOZES KB+BL MNH,no
TEHRAN 2010+ BANK HUNGARY AYOTALLAH MARTYR GHADIR KHOM FESTIVAL MNH,no
U215 2004 S.TOME E PRINCIPE ART MARC CHAGALL 1KB+1BL MNH,no
NORWEGEN Jahrgang 2008 komplett postfrisch/ ** (MNH),no
"T139 2009 GUINE-BISSAU FAMOUS PEOPLE PREMIO NOBEL WINNERS 1911,1912 2KB MNH",no
U216 2004 S.TOME E PRINCIPE ART MUSEU DO LOUVRE 1KB+1BL MNH,no
T14 2009 MOCAMBIQUE FAMOUS PEOPLE CHARLES DARWIN REPTILES DINOSAURS 1KB+1BL MNH,no
U217 2004 S.TOME E PRINCIPE ART MICHELANGELO 1KB+1BL MNH,no
Stamp Brithish North Borneo MNH**,no
"T140 2009 GUINE-BISSAU FAMOUS PEOPLE PREMIO NOBEL WINNERS 1909,1910 2KB MNH",no
NORWEGEN Jahrgang 2009 (bis auf 1) komplett postfrisch/ ** (MNH),no
U218 2003 GUINE-BISSAU ART AMADEO MODIGLIANI 1BL+1KB MNH,no
"T141 2009 GUINE-BISSAU FAMOUS PEOPLE PREMIO NOBEL WINNERS 1907,1908 2KB MNH",no
U219 2003 GUINE-BISSAU ART JEAN AUGUSTE DOMINIQUE INGRES 1BL+1KB MNH,no
Turkey / TÃ¼rkei / TÃ¼rkiye / Turquie â˜€ HATAY 1939 ATATURK â˜€ 2v MH/MNH,no
T142 2009 GUINE-BISSAU PETS DOGS LABRADOR RETRIEVER 1KB+1BL MNH,no
U220 2003 GUINE-BISSAU ART LEONARDO DA VINCI 1KB MNH,no
T143 2009 GUINE-BISSAU HOMENS E ANIMAIS PRE-HISTORICOS E PINTURAS 1KB+1BL MNH,no
EUROPA CEPT Kiribati 2006 - 50 J. Europamarken postfr./** (MNH),no
U221 2003 GUINE-BISSAU ART ALPHONSE MUCHA 1BL+1KB MNH,no
T144 2009 GUINE-BISSAU MARINE LIFE PLANTAS MARINHAS E PEIXES KB+BL MNH,no
U222 2003 GUINE-BISSAU ART ALPHONSE MUCHA 1BL+1KB MNH,no
T145 2009 GUINE-BISSAU CHESS HISTORY XADREZ EM SELOS POSTAIS KB+BL MNH,no
U223 2003 GUINE-BISSAU ART PIETER BRUEGEL 1BL+1KB MNH,no
EUROPA CEPT Laos 2006 - 50 J. Europamarken pfr/** (MNH),no
T146 2009 GUINE-BISSAU FLORA FLOWERS SCOUTISM ESCUTEIROS & ORQUIDEAS 1KB+1BL MNH,no
U224 2003 GUINE-BISSAU ART PETER PAUL RUBENS 1KB MNH,no
1954 DDR East Germany Officials Blocks of 4 Selection MNH/** (Cat Â£60+),no
