aucitem,interested
Guinea-Bissau 1983 Monkeys MNH** - (A_010),no
Zaire - MNH** - Animal/ Wild Animal /Okapi / WWF,no
Burundi - 2011 - MNH - Animal - Birds - Mufumbiri - WWF - Imperf.,no
Uganda 2012 Birds /WWF/Fauna - MNH Mi.3000-3003 - (A_007),no
Laos 1982 Elephants/Fauna/Nature - good set Very Fine MNH**,no
1988 VANUATU WWF DUGONG SET OF 4 FINE MINT MNH**  - (A_013),no
Burundi 2011 Birds Owls set of 4 + S/S MNH**,no
Samoa 1997 Dolphins Marine Life Greenpeace MNH** (A_008),no
Burundi 2011 Birds of Prey Eagles Raptors set of 4 + S/S MNH**,no
Angola 2011 WWF Monkeys Macaque sheet of 8 imperf. MNH**,no
2006 Birds/ Owls/Fauna - set of 4 MNH** (A_001),no
Burundi 2011 Reptiles Turtles set of 4 + S/S MNH**,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 10,no
PORTUGAL 1994 - Lot of 10 Souvenir Sheets - MNH,yes
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 11,no
MNH U.S. #2438 & C126 Souvenir Sheets -- c.cv. $10.00,no
Germany Deutschland Deutsche Besetzungsausgaben: UKRAINE Mi# 1-20 MNH (#8 Used),no
Germany - West Saxony - 1946 Sets A & B - MNH - see scans/details,yes
Russian - USSR Stamps - Set of 5 MNH.,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 12,no
Germany   'Musical Instruments' -  2014   -  BLOCK OF 5  - MINT NEVER HINGED,no
PORTUGAL 1995 - Vultos da Cultura / Arquitetura dos Acores - MNH,no
CHINA: FINE BLOCKS OF STAMPS - GYMNASTICS BY RADIO - OVERPRINTS- MNH - MNG- USED,no
"Germany - West Saxony - 1946 Leipzig Sets A,B & Imperf - MNH - see scans/details",no
PORTUGAL 1995 - 100 Anos do Carro Eletrico e Automovel em Portugal - MNH,yes
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 13,no
Germany - Thuringen - 1946 Bridge Fund set - MNH - see scans/details,no
PORTUGAL 1995 - Profissoes e Personagens do Seculo XIX - MNH,yes
LOT GERMANY DEUTSCHLAND VF MNH N79.22 START 0.99,yes
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 14,no
Spain Scott 1271-1278 Builders of the New World MNH,no
PORTUGAL 1995 - Europa-CEPT - MNH,no
PORTUGAL 1995 - 8Â° Centenario do Nascimento de Santo Antonio - MNH,no
PORTUGAL 1995 - Artesanato Madeirense - MNH,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 15,no
PORTUGAL 1995 - 600 Anos dos Bombeiros em Portugal - MNH,no
PORTUGAL 1995 - Escultura Portuguesa - MNH,no
PORTUGAL 1995 - A Arte e os Descobrimentos - MNH,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 16,no
PORTUGAL 1995 - Lot of 7 Stamps - MNH,no
JAPAN #580b MNH 10-Stamp Booklet with Stains on Back c.1953,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 17,no
PORTUGAL 1995 - Lot of 10 Souvenir Sheets - MNH,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 18,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 19,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 20,no
GERMANY - SBZ -1949 ALLGEMEINE AUSG Arbeiter - 20 ROSSLAU-ZERBST MNH** LOT 21,no
"FRANCE, Scott Cat. #2691 // 2748, MNH, 2015 Catalogue Value $167.55",no
