aucitem,interested
â™  IRLANDE 1971 # 267/68 Y&T SERIE NEUVE **/ MNH + OBL.,no
"1992 Standard, double print ERROR  and abklach mnh og",no
"Russia 1908 19th issue, 3 kop Full Sheet, MNH",no
T220 2009 UNION DES COMORES FAUNA BIRDS LES CANARDS KB+BL MNH,no
VIETNAM #196 FULL SHEET of 50 MADONNA of VANG MNH-MINT NEVER HINGED,yes
ALDERNEY Sammlung 1983-2003 komplett postfrisch/** (MNH),no
â™  FRANCE LOT DE TIMBRES NEUFS **/ MNH,no
"1992 Standard, double print ERROR  and abklach mnh og",no
T221 2009 UNION DES COMORES FAUNA BIRDS LES PERROQUETS PARROTS KB+BL MNH,no
T222 2009 UNION DES COMORES FAUNA REPTILES LES SAURIENS KB+BL MNH,no
â™  YOUGOSLAVIE 1971 # 1301/02 Y&T SERIE NEUVE **/ MNH + OBL.,no
T223 2009 UNION DES COMORES FAUNA BIRDS LES STERNINIS KB+BL MNH,no
"C1032 Occ. Alleata - Cifra, serie cpl. n. 1/9. Cat. â‚¬. 40 - MNH**",no
"1984  Standard, double print ERROR  and abklach mnh og",no
T224 2009 UNION DES COMORES FAUNA BIRDS LES PIGEONS KB+BL MNH,no
"Russia 1908 19th issue, 4 kop Full Sheet, MNH",no
T225 2009 UNION DES COMORES FAUNA BIRDS LES AIGLES KB+BL MNH,no
BRD BUND (160) BRIEFMARKEN KLEINE SAMMLUNG POSTFRISCH ** MNH,no
1939 Germany Reich Mi W 77 (x3)  Hindenburg  Se-tenants  MNH Philacall (571,no
1935 Germany Reich Mi S 231  Charity Costumes Se-tenant MNH Philacall (241,no
1937 Germany Reich Mi S 153 (x2)  Hindenburg Se-tenants MNH Philacall (352,no
1938 Germany Reich Mi S 249/251  Landscapes Se-tenants MNH Philacall (072,no
T226 2009 UNION DES COMORES FAUNA BIRDS OWLS LES HIBOUX KB+BL MNH,no
C1068 DALMAZIA - Floreale 1 corona su 1 lira n. 1 - MNH**,no
T227 2009 UNION DES COMORES FAUNA ANIMAL SEALS LES OTARIES ANTARCTIQUE KB+BL MNH,no
â™  MALTE 1971 # 424/26 Y&T SERIE NEUVE **/ MNH + OBL.,no
PERSIA 1925 MNH Complete Set of 8 Stamps OVP Michel #501a-507 CV â‚¬180 VF,no
T228 2009 UNION DES COMORES FAUNA BIRDS LES FAUCONS KB+BL MNH,no
"Russia 1908 19th issue, 5 kop Full Sheet, Pl#1, MNH",no
T229 2009 UNION DES COMORES FAUNA MARINE LIFE LES DAUPHINS DOLPHINS KB+BL MNH,no
â™  ITALIE - RHODES 1912-17 # 8 Y&T NEUF **/ MNH,no
"1991 Baloons,  mirror print  on the gummed side , Abklach  mnh og",no
C1070 DALMAZIA - Espresso 25 c. sovr. n. 1. Cat. â‚¬. 15 - MNH**,no
T230 2009 UNION DES COMORES FAUNA MARINE LIFE LES BALEINES KB+BL MNH,no
T231 2009 UNION DES COMORES FAUNA MARINE LIFE LES DUGONGS KB+BL MNH,no
"1991 Baloons,  mirror print  on the gummed side , Abklach  mnh og",no
â™  MONACO 1971 # 863/65 Y&T SERIE NEUVE **/ MNH + OBL.,no
T232 2009 UNION DES COMORES FISH & MARINE LIFE LES POISSONS 1KB+1BL MNH,no
"Russia 1908 19th issue, 5 kop Full Sheet, Pl#1, MNH",no
T233 2009 UNION DES COMORES FAUNA INSECTS LES COLEOPTERES KB+BL MNH,no
â™  REUNION - CFA - 1963 # 357/58 Y&T BLOC DE 4 NEUFS **/ MNH,no
T234 2009 UNION DES COMORES FAUNA BIRDS OWLS LES HIBOUX KB+BL MNH,no
1934 Germany Reich Mi 546-547  Nuremberg Party Rally MNH Philacall (278,no
T235 2009 UNION DES COMORES FAUNA BIRDS LES MARTINS-PECHEUR  KB+BL MNH,no
T236 2009 UNION DES COMORES MARINE LIFE DOLPHINS LES DAUPHINS 1KB+1BL MNH,no
â™  SAN MARINO 1971 # 782/83 Y&T SERIE NEUVE **/ MNH + OBL.,no
"1991 Baloons,  mirror print  on the gummed side , Abklach  mnh og",yes
1933 Germany Reich Mi S 107  Hindenburg Se-tenant MNH Philacall (178,no
